# The 3DHST ID is specific to its north or south catalog. Currently using 3DHST v4.1.5 catalog.
# pears_id threed_south_idv415 pears_ra pears_dec threed_ra threed_dec
126287 44769 53.056983 -27.700791 53.056992 -27.700830
129502 46070 53.057075 -27.694998 53.057076 -27.695000
109770 37399 53.057173 -27.736597 53.057182 -27.736591
119702 41806 53.057255 -27.715320 53.057266 -27.715303
121127 42140 53.057263 -27.713397 53.057259 -27.713404
122735 42898 53.057283 -27.710189 53.057278 -27.710192
119562 41320 53.057324 -27.716793 53.057320 -27.716801
120770 42000 53.057467 -27.703802 53.057514 -27.703793
128326 45466 53.057557 -27.697727 53.057545 -27.697735
119193 41796 53.057745 -27.713586 53.057751 -27.713591
127632 45255 53.057846 -27.699499 53.057838 -27.699499
131755 47090 53.057847 -27.690515 53.057842 -27.690521
109442 37156 53.057900 -27.737651 53.057919 -27.737679
117070 40676 53.057988 -27.720001 53.057983 -27.719999
121826 42386 53.058103 -27.712248 53.058102 -27.712235
108014 36794 53.058108 -27.734954 53.058140 -27.734959
131701 47068 53.058121 -27.690549 53.058109 -27.690544
115544 40023 53.058182 -27.723700 53.058189 -27.723701
122600 42896 53.058241 -27.709951 53.058239 -27.709942
132876 47641 53.058341 -27.687832 53.058327 -27.687813
129427 46047 53.058378 -27.695346 53.058380 -27.695351
119012 41127 53.058406 -27.717739 53.058414 -27.717735
127814 45174 53.058420 -27.699042 53.058414 -27.699030
121864 42459 53.058434 -27.712024 53.058430 -27.712015
123550 43299 53.058583 -27.708275 53.058586 -27.708279
118977 41192 53.058637 -27.717696 53.058636 -27.717699
123448 43256 53.058668 -27.708436 53.058662 -27.708439
119493 41531 53.058677 -27.716358 53.058674 -27.716362
109227 37088 53.058740 -27.738177 53.058720 -27.738182
114202 39568 53.058830 -27.726349 53.058857 -27.726324
127889 45575 53.058933 -27.697821 53.058918 -27.697821
110666 37792 53.058961 -27.733577 53.059021 -27.733606
120095 41889 53.059124 -27.715267 53.059124 -27.715275
124592 43530 53.059138 -27.706429 53.059128 -27.706411
113442 39295 53.059206 -27.726797 53.059204 -27.726801
130885 46898 53.059210 -27.691325 53.059204 -27.691319
119774 41930 53.059436 -27.715070 53.059433 -27.715073
109766 37320 53.059515 -27.736047 53.059517 -27.736052
131324 47088 53.059589 -27.690653 53.059582 -27.690645
121227 42560 53.059628 -27.711910 53.059616 -27.711906
114514 39649 53.059630 -27.725779 53.059631 -27.725792
128024 45603 53.059813 -27.697686 53.059807 -27.697680
118455 41708 53.059861 -27.716273 53.059860 -27.716290
105771 35670 53.059870 -27.745408 53.059845 -27.745407
117830 40826 53.059898 -27.719554 53.059906 -27.719551
113910 39358 53.059997 -27.727061 53.060005 -27.727013
114217 39358 53.060014 -27.726950 53.060005 -27.727013
109007 37263 53.060077 -27.737748 53.060081 -27.737747
112564 38701 53.060099 -27.729555 53.060101 -27.729603
